,number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_positive,params_tol,state
42,42,26046.464860623095,2024-03-30 15:13:17.757288,2024-03-30 15:13:17.790358,0 days 00:00:00.033070,0.15299420353327295,0.9756292181507696,286,False,2.301655034626176e-05,COMPLETE
43,43,24371.17204728314,2024-03-30 15:13:17.792148,2024-03-30 15:13:17.819546,0 days 00:00:00.027398,0.29825864455718065,0.947808140838038,462,False,3.8490476698071715e-05,PRUNED
44,44,24368.578102299398,2024-03-30 15:13:17.820915,2024-03-30 15:13:17.844968,0 days 00:00:00.024053,0.20327894118811082,0.8959871578390493,350,False,3.300916706492235e-05,PRUNED
45,45,26047.100932164918,2024-03-30 15:13:17.847022,2024-03-30 15:13:17.869535,0 days 00:00:00.022513,0.05372851550525773,0.8334801682120019,223,False,2.609326279062762e-05,COMPLETE
46,46,26607.66675657209,2024-03-30 15:13:17.871192,2024-03-30 15:13:17.888232,0 days 00:00:00.017040,0.48040955122035334,0.9665782534708482,281,True,4.831590629933647e-05,PRUNED
47,47,26188.83074578699,2024-03-30 15:13:17.889450,2024-03-30 15:13:17.905469,0 days 00:00:00.016019,0.37446751047887933,0.9973616079809203,550,False,3.810264678294231e-05,PRUNED
48,48,26039.091446062826,2024-03-30 15:13:17.906553,2024-03-30 15:13:17.924151,0 days 00:00:00.017598,0.17598634835350882,0.8966336870205862,831,False,5.5367366961671404e-05,COMPLETE
49,49,26038.717397972505,2024-03-30 15:13:17.925363,2024-03-30 15:13:17.943068,0 days 00:00:00.017705,0.18277273989895781,0.9067130171467775,888,False,6.056843657218431e-05,COMPLETE
50,50,26041.50446215703,2024-03-30 15:13:17.944470,2024-03-30 15:13:17.962473,0 days 00:00:00.018003,0.09826793243740933,0.8018091973654686,1186,False,0.0001222374020945858,COMPLETE
51,51,26039.01641656323,2024-03-30 15:13:17.963926,2024-03-30 15:13:17.981177,0 days 00:00:00.017251,0.18841904564452655,0.8973670231097907,789,False,5.854223888986608e-05,COMPLETE
52,52,24371.490000214744,2024-03-30 15:13:17.982469,2024-03-30 15:13:17.998413,0 days 00:00:00.015944,0.24269735126891942,0.9161391504371919,797,False,8.881064304534007e-05,PRUNED
53,53,26188.981959291978,2024-03-30 15:13:18.000015,2024-03-30 15:13:18.015098,0 days 00:00:00.015083,0.19259088471631408,0.9609932863070462,652,False,6.690927399335682e-05,PRUNED
54,54,24382.7096336799,2024-03-30 15:13:18.016471,2024-03-30 15:13:18.032545,0 days 00:00:00.016074,0.23261143997387645,0.8696445110338841,915,False,6.105102258300522e-05,PRUNED
